OLHL01000613.1,Plasmid,16121,+,3.08,Phage_integrase CbiA Response_reg
OLHL01001809.1,Uncertain - plasmid or chromosomal,6549,+,0.48,Condensation AMP-binding AMP-binding Condensation PP-binding AMP-binding_C PP-binding AMP-binding_C
OLHL01001897.1,Plasmid,6255,+,23.51,RepL Mob_Pre RepL
OLHL01002003.1,Uncertain - viral or bacterial,5964,+,1.34,HTH_17
OLHL01002117.1,Plasmid,5705,+,8.62,Mob_Pre Rep_3 OMP_b-brl
OLHL01003084.1,Plasmid,4118,+,21.20,Replicase PriCT_1 Replicase PriCT_1 MobA_MobL
OLHL01003448.1,Plasmid,3721,+,4.77,Rep_trans MobA_MobL
OLHL01005222.1,Uncertain - viral or bacterial,2507,+,--
OLHL01005291.1,Virus,2478,+,3.84,Phage_CRI Phage_X Phage_X
OLHL01006888.1,Uncertain - viral or bacterial,1899,+,--
OLHL01008603.1,Uncertain - viral or bacterial,1503,+,--
OLHL01012523.1,Uncertain - viral or bacterial,994,+,--
OLHL01012961.1,Chromosome,958,+,-5.73,YacG CoaE
OLHL01013487.1,Uncertain - viral or bacterial,916,+,--
OLHL01016273.1,Uncertain - viral or bacterial,739,+,--
