OJGF01000086.1,Plasmid,8227,+,7.24,Beta-lactamase2 Peripla_BP_3 LacI Rop DNA_pol_A DNA_pol_A_exo1 MMR_HSR1
OJGF01000241.1,Virus,5441,+,26.56,Phage_F Phage_F Phage_GPA
OJGF01001483.1,Uncertain - viral or bacterial,2015,+,--
OJGF01001658.1,Uncertain - viral or bacterial,1882,+,--
OJGF01003384.1,Uncertain - viral or bacterial,1144,+,--
OJGF01005499.1,Uncertain - viral or bacterial,796,+,2.54,Collar
OJGF01006158.1,Chromosome,726,+,-3.72,MscL DUF937 MscL
OJGF01008059.1,Uncertain - viral or bacterial,600,+,--
OJGF01009121.1,Uncertain - plasmid or chromosomal,543,+,-0.88,DUF3833
OJGF01009200.1,Uncertain - viral or bacterial,537,+,--
OJGF01009437.1,Uncertain - viral or bacterial,523,+,--
OJGF01009822.1,Uncertain - viral or bacterial,501,+,1.04,RNA_pol_Rpb2_1
