OJEV01000133.1,Plasmid,8227,+,7.24,DNA_pol_A DNA_pol_A_exo1 Beta-lactamase2 MMR_HSR1 Rop Peripla_BP_3 LacI
OJEV01000275.1,Virus,5441,+,26.56,Phage_GPA Phage_F Phage_F
OJEV01003674.1,Uncertain - viral or bacterial,1144,+,--
OJEV01005328.1,Uncertain - viral or bacterial,883,+,0.52,DEAD
OJEV01007563.1,Uncertain - viral or bacterial,690,+,--
OJEV01008529.1,Uncertain - viral or bacterial,632,+,-2.80,YqeY Ribosomal_S21
OJEV01010437.1,Uncertain - viral or bacterial,547,+,--
OJEV01010537.1,Uncertain - viral or bacterial,541,+,--
OJEV01010786.1,Uncertain - viral or bacterial,527,+,--
OJEV01010940.1,Uncertain - plasmid or chromosomal,520,+,0.07,Oxidored_molyb
OJEV01011094.1,Uncertain - viral or bacterial,512,+,-1.87,Sigma70_r4_2
OJEV01011309.1,Uncertain - viral or bacterial,502,+,--
